Domain,Type,TLD Manager,RDAP URLs
.epost,generic,Not assigned,
.epson,generic,Seiko Epson Corporation,https://rdap.gmoregistry.net/rdap/
.equipment,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.er,country-code,Eritrea Telecommunication Services Corporation (EriTel),
.ericsson,generic,Telefonaktiebolaget L M Ericsson,https://rdap.identitydigital.services/rdap/
.erni,generic,ERNI Group Holding AG,https://rdap.nic.erni/
.es,country-code,Red.es,
.esq,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.estate,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.esurance,generic,Not assigned,
.et,country-code,Ethio telecom,
.etisalat,generic,Not assigned,
.eu,country-code,EURid vzw/asbl,
.eurovision,generic,European Broadcasting Union (EBU),https://rdap.nic.eurovision/
.eus,generic,Puntueus Fundazioa,https://rdap.nic.eus/
.events,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.everbank,generic,Not assigned,
.exchange,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.expert,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.exposed,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.express,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.extraspace,generic,Extra Space Storage LLC,https://rdap.identitydigital.services/rdap/
.fage,generic,Fage International S.A.,https://rdap.identitydigital.services/rdap/
.fail,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.fairwinds,generic,"FairWinds Partners, LLC",https://rdap.nominet.uk/fairwinds/
.faith,generic,dot Faith Limited,https://rdap.nic.faith/
.family,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.fan,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.fans,generic,ZDNS International Limited,https://rdap.centralnic.com/fans/
.farm,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.farmers,generic,Farmers Insurance Exchange,https://rdap.nic.farmers/
.fashion,generic,"Registry Services, LLC",https://rdap.nic.fashion/
.fast,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/fast/
.fedex,generic,Federal Express Corporation,https://rdap.identitydigital.services/rdap/
.feedback,generic,"Top Level Spectrum, Inc.",https://rdap.nic.feedback/rdap/
.ferrari,generic,Fiat Chrysler Automobiles N.V.,https://rdap.identitydigital.services/rdap/
.ferrero,generic,Ferrero Trading Lux S.A.,https://rdap.nic.ferrero/
.fi,country-code,Finnish Transport and Communications Agency Traficom,https://rdap.fi/rdap/rdap/
.fiat,generic,Not assigned,
.fidelity,generic,Fidelity Brokerage Services LLC,https://rdap.identitydigital.services/rdap/
.fido,generic,Rogers Communications Canada Inc.,https://rdap.identitydigital.services/rdap/
.film,generic,Motion Picture Domain Registry Pty Ltd,https://rdap.nic.film/
.final,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,https://rdap.gtlds.nic.br/
.finance,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.financial,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.fire,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/fire/
.firestone,generic,"Bridgestone Licensing Services, Inc.",https://rdap.gmoregistry.net/rdap/
.firmdale,generic,Firmdale Holdings Limited,https://rdap.nic.firmdale/
.fish,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.fishing,generic,"Registry Services, LLC",https://rdap.nic.fishing/
.fit,generic,"Registry Services, LLC",https://rdap.nic.fit/
.fitness,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.fj,country-code,"The University of the South Pacific
IT Services",https://www.rdap.fj/
.fk,country-code,Falkland Islands Government,
.flickr,generic,"Flickr, Inc.",https://rdap.nic.flickr/
.flights,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.flir,generic,"FLIR Systems, Inc.",https://rdap.nic.flir/
.florist,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.flowers,generic,XYZ.COM LLC,https://rdap.centralnic.com/flowers/
.flsmidth,generic,Not assigned,
.fly,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.fm,country-code,FSM Telecommunications Corporation,https://rdap.centralnic.com/fm/
.fo,country-code,FO Council,https://rdap.centralnic.com/fo/
.foo,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.food,generic,Internet Naming Co.,https://rdap.nic.food/rdap/
.foodnetwork,generic,Not assigned,
.football,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.ford,generic,Ford Motor Company,https://rdap.nic.ford/
.forex,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.forsale,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.forum,generic,"Fegistry, LLC",https://rdap.nic.forum/rdap/
.foundation,generic,Public Interest Registry (PIR),https://rdap.publicinterestregistry.org/rdap/
.fox,generic,"FOX Registry, LLC",https://rdap.nic.fox/
.fr,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),https://rdap.nic.fr/
.free,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/free/
.fresenius,generic,Fresenius Immobilien-Verwaltungs-GmbH,https://rdap.centralnic.com/fresenius/
.frl,generic,FRLregistry B.V.,https://rdap.centralnic.com/frl/
.frogans,generic,OP3FT,https://rdap.identitydigital.services/rdap/
.frontdoor,generic,Not assigned,
.frontier,generic,Frontier Communications Corporation,https://rdap.nic.frontier/
.ftr,generic,Frontier Communications Corporation,https://rdap.nic.ftr/
.fujitsu,generic,Fujitsu Limited,https://rdap.gmoregistry.net/rdap/
.fujixerox,generic,Not assigned,
.fun,generic,Radix Technologies Inc.,https://rdap.centralnic.com/fun/
.fund,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.furniture,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.futbol,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.fyi,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.ga,country-code,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF),
.gal,generic,Asociación puntoGAL,https://rdap.nic.gal/
.gallery,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.gallo,generic,"Gallo Vineyards, Inc.",https://rdap.identitydigital.services/rdap/
.gallup,generic,"Gallup, Inc.",https://rdap.identitydigital.services/rdap/
.game,generic,XYZ.COM LLC,https://rdap.centralnic.com/game/
.games,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.gap,generic,"The Gap, Inc.",https://rdap.nic.gap/
.garden,generic,"Registry Services, LLC",https://rdap.nic.garden/
.gay,generic,"Registry Services, LLC",https://rdap.nic.gay/
.gb,country-code,Reserved Domain - IANA,
.gbiz,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.gd,country-code,The National Telecommunications Regulatory Commission (NTRC),https://rdap.centralnic.com/gd/
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",https://rdap.nic.gdn/
.ge,country-code,Caucasus Online LLC,
.gea,generic,GEA Group Aktiengesellschaft,https://rdap.nic.gea/
.gent,generic,Combell nv,https://rdap.centralnic.com/gent/
.genting,generic,Resorts World Inc. Pte. Ltd.,https://rdap.identitydigital.services/rdap/
.george,generic,"Wal-Mart Stores, Inc.",https://rdap.nic.george/
.gf,country-code,CANAL+ TELECOM,
.gg,country-code,Island Networks Ltd.,
.ggee,generic,"GMO Internet, Inc.",https://rdap.gmoregistry.net/rdap/
.gh,country-code,Network Computer Systems Limited,
.gi,country-code,Sapphire Networks,
.gift,generic,"Uniregistry, Corp.",https://whois.uniregistry.net/rdap/
.gifts,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.gives,generic,Public Interest Registry (PIR),https://rdap.publicinterestregistry.org/rdap/
.giving,generic,Public Interest Registry (PIR),https://rdap.publicinterestregistry.org/rdap/
.gl,country-code,TELE Greenland A/S,
.glade,generic,Not assigned,
.glass,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.gle,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.global,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.globo,generic,Globo Comunicação e Participações S.A,https://rdap.gtlds.nic.br/
.gm,country-code,GM-NIC,
.gmail,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.gmbh,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.gmo,generic,"GMO Internet, Inc.",https://rdap.gmoregistry.net/rdap/
.gmx,generic,1&1 Mail & Media GmbH,https://rdap.nic.gmx/
.gn,country-code,Centre National des Sciences Halieutiques de Boussoura,
.godaddy,generic,"Go Daddy East, LLC",https://rdap.nic.godaddy/
.gold,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.",https://rdap.gmoregistry.net/rdap/
.golf,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.goo,generic,NTT Resonant Inc.,https://rdap.gmoregistry.net/rdap/
.goodhands,generic,Not assigned,
.goodyear,generic,The Goodyear Tire & Rubber Company,https://rdap.identitydigital.services/rdap/
.goog,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.google,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.gop,generic,"Republican State Leadership Committee, Inc.",https://rdap.nominet.uk/gop/
.got,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/got/
.gov,sponsored,Cybersecurity and Infrastructure Security Agency,
.gp,country-code,Networking Technologies Group,
.gq,country-code,GETESA,
.gr,country-code,ICS-FORTH GR,
.grainger,generic,"Grainger Registry Services, LLC",https://rdap.nic.grainger/
.graphics,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.gratis,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.green,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.gripe,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.grocery,generic,"Wal-Mart Stores, Inc.",https://rdap.nic.grocery/
.group,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.gs,country-code,Government of South Georgia and South Sandwich Islands (GSGSSI),https://rdap.nic.gs/
.gt,country-code,Universidad del Valle de Guatemala,
.gu,country-code,University of Guam,
.guardian,generic,Not assigned,
.gucci,generic,Guccio Gucci S.p.a.,https://rdap.nominet.uk/gucci/
.guge,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.guide,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.guitars,generic,XYZ.COM LLC,https://rdap.centralnic.com/guitars/
.guru,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.gw,country-code,Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau,
.gy,country-code,University of Guyana,https://rdap.registry.gy/
.hair,generic,XYZ.COM LLC,https://rdap.centralnic.com/hair/
.hamburg,generic,Hamburg Top-Level-Domain GmbH,https://rdap.nic.hamburg/v1/
.hangout,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.haus,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.hbo,generic,"HBO Registry Services, Inc.",https://rdap.nic.hbo/
.hdfc,generic,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,https://rdap.identitydigital.services/rdap/
.hdfcbank,generic,HDFC Bank Limited,https://rdap.identitydigital.services/rdap/
.health,generic,"Registry Services, LLC",https://rdap.nic.health/
.healthcare,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.help,generic,Innovation Service Ltd,https://rdap.centralnic.com/help/
.helsinki,generic,City of Helsinki,https://rdap.identitydigital.services/rdap/
.here,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.hermes,generic,Hermes International,https://rdap.identitydigital.services/rdap/
.hgtv,generic,Not assigned,
.hiphop,generic,"Dot Hip Hop, LLC",https://rdap.registry.hiphop/rdap/
.hisamitsu,generic,"Hisamitsu Pharmaceutical Co.,Inc.",https://rdap.gmoregistry.net/rdap/
.hitachi,generic,"Hitachi, Ltd.",https://rdap.gmoregistry.net/rdap/
.hiv,generic,Internet Naming Co.,https://whois.uniregistry.net/rdap/
.hk,country-code,Hong Kong Internet Registration Corporation Ltd.,
.hkt,generic,PCCW-HKT DataCom Services Limited,https://rdap.identitydigital.services/rdap/
.hm,country-code,HM Domain Registry,
.hn,country-code,Red de Desarrollo Sostenible Honduras,https://rdap.nic.hn/
.hockey,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.holdings,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.holiday,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.homedepot,generic,"Home Depot Product Authority, LLC",https://rdap.identitydigital.services/rdap/
.homegoods,generic,"The TJX Companies, Inc.",https://rdap.nic.homegoods/
.homes,generic,XYZ.COM LLC,https://rdap.centralnic.com/homes/
.homesense,generic,"The TJX Companies, Inc.",https://rdap.nic.homesense/
.honda,generic,"Honda Motor Co., Ltd.",https://rdap.gmoregistry.net/rdap/
.honeywell,generic,Not assigned,
.horse,generic,"Registry Services, LLC",https://rdap.nic.horse/
.hospital,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.host,generic,Radix Technologies Inc.,https://rdap.centralnic.com/host/
.hosting,generic,XYZ.COM LLC,https://rdap.centralnic.com/hosting/
.hot,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/hot/
.hoteles,generic,Not assigned,
.hotels,generic,Booking.com B.V.,https://rdap.nic.hotels/
.hotmail,generic,Microsoft Corporation,https://rdap.nominet.uk/hotmail/
.house,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.how,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.hr,country-code,CARNet - Croatian Academic and Research Network,
.hsbc,generic,HSBC Global Services (UK) Limited,https://rdap.nic.hsbc/
.ht,country-code,Consortium FDS/RDDH,https://rdap.nic.ht/
.htc,generic,Not assigned,
.hu,country-code,Council of Hungarian Internet Providers (CHIP),
.hughes,generic,Hughes Satellite Systems Corporation,https://rdap.identitydigital.services/rdap/
.hyatt,generic,"Hyatt GTLD, L.L.C.",https://rdap.nic.hyatt/
.hyundai,generic,Hyundai Motor Company,https://rdap.gmoregistry.net/rdap/
.ibm,generic,International Business Machines Corporation,https://rdap.nic.ibm/
.icbc,generic,Industrial and Commercial Bank of China Limited,https://rdap.zdnsgtld.com/icbc/
.ice,generic,"IntercontinentalExchange, Inc.",https://rdap.identitydigital.services/rdap/
.icu,generic,Shortdot SA,https://rdap.centralnic.com/icu/
.id,country-code,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI),https://rdap.pandi.id/rdap/
.ie,country-code,"University College Dublin, Computing Services, Computer Centre",
.ieee,generic,IEEE Global LLC,https://rdap.nominet.uk/ieee/
.ifm,generic,ifm electronic gmbh,https://rdap.nic.ifm/
.iinet,generic,Not assigned,
.ikano,generic,Ikano S.A.,https://rdap.nic.ikano/v1/
.il,country-code,The Israel Internet Association (RA),
.im,country-code,Isle of Man Government,
.imamat,generic,Fondation Aga Khan (Aga Khan Foundation),https://rdap.identitydigital.services/rdap/
.imdb,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/imdb/
.immo,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.immobilien,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.in,country-code,National Internet Exchange of India,https://rdap.nixiregistry.in/rdap/
.inc,generic,Intercap Registry Inc.,https://rdap.centralnic.com/inc/
.industries,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.infiniti,generic,"NISSAN MOTOR CO., LTD.",https://rdap.gmoregistry.net/rdap/
.info,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.ing,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.ink,generic,"Registry Services, LLC",https://rdap.nic.ink/
.institute,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.insurance,generic,fTLD Registry Services LLC,https://rdap.nic.insurance/
.insure,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.int,sponsored,Internet Assigned Numbers Authority,https://rdap.iana.org/
.intel,generic,Not assigned,
.international,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.intuit,generic,"Intuit Administrative Services, Inc.",https://rdap.nic.intuit/
.investments,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.io,country-code,Internet Computer Bureau Limited,
.ipiranga,generic,Ipiranga Produtos de Petroleo S.A.,https://rdap.nic.ipiranga/
.iq,country-code,Communications and Media Commission (CMC),
.ir,country-code,Institute for Research in Fundamental Sciences,
.irish,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.is,country-code,ISNIC - Internet á Íslandi hf.,https://rdap.isnic.is/rdap/
.iselect,generic,Not assigned,
.ismaili,generic,Fondation Aga Khan (Aga Khan Foundation),https://rdap.identitydigital.services/rdap/
.ist,generic,Istanbul Metropolitan Municipality,https://rdap.identitydigital.services/rdap/
.istanbul,generic,Istanbul Metropolitan Municipality,https://rdap.identitydigital.services/rdap/
.it,country-code,IIT - CNR,
.itau,generic,Itau Unibanco Holding S.A.,https://rdap.nic.itau/
.itv,generic,ITV Services Limited,https://rdap.identitydigital.services/rdap/
.iveco,generic,Not assigned,
.iwc,generic,Not assigned,
.jaguar,generic,Jaguar Land Rover Ltd,https://rdap.identitydigital.services/rdap/
.java,generic,Oracle Corporation,https://rdap.identitydigital.services/rdap/
.jcb,generic,"JCB Co., Ltd.",https://rdap.gmoregistry.net/rdap/
.jcp,generic,Not assigned,
.je,country-code,Island Networks (Jersey) Ltd.,
.jeep,generic,FCA US LLC.,https://rdap.identitydigital.services/rdap/
.jetzt,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.jewelry,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.jio,generic,Reliance Industries Limited,https://rdap.identitydigital.services/rdap/
.jlc,generic,Not assigned,
.jll,generic,Jones Lang LaSalle Incorporated,https://rdap.identitydigital.services/rdap/
.jm,country-code,University of West Indies,
.jmp,generic,Matrix IP LLC,https://rdap.nic.jmp/
.jnj,generic,"Johnson & Johnson Services, Inc.",https://rdap.centralnicregistry.com/jnj/
.jo,country-code,Ministry of Digital Economy and Entrepreneurship (MoDEE),
.jobs,sponsored,Employ Media LLC,https://rdap.nominet.uk/jobs/
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,https://rdap.nic.joburg/rdap/
.jot,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/jot/
.joy,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/joy/
.jp,country-code,"Japan Registry Services Co., Ltd.",
.jpmorgan,generic,"JPMorgan Chase Bank, National Association",https://rdap.nic.jpmorgan/
.jprs,generic,"Japan Registry Services Co., Ltd.",https://rdap.nic.jprs/rdap/
.juegos,generic,"Dog Beach, LLC",https://whois.uniregistry.net/rdap/
.juniper,generic,"JUNIPER NETWORKS, INC.",https://rdap.identitydigital.services/rdap/
.kaufen,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.kddi,generic,KDDI CORPORATION,https://rdap.gmoregistry.net/rdap/
.ke,country-code,Kenya Network Information Center (KeNIC),https://rdap.kenic.or.ke/
.kerryhotels,generic,Kerry Trading Co. Limited,https://rdap.identitydigital.services/rdap/
.kerrylogistics,generic,Not assigned,
.kerryproperties,generic,Kerry Trading Co. Limited,https://rdap.identitydigital.services/rdap/
.kfh,generic,Kuwait Finance House,https://rdap.centralnic.com/kfh/
.kg,country-code,AsiaInfo Telecommunication Enterprise,http://rdap.cctld.kg/
.kh,country-code,Telecommunication Regulator of Cambodia (TRC),
.ki,country-code,"Ministry of Information, Communications and Transport (MICT)",
.kia,generic,KIA MOTORS CORPORATION,https://rdap.gmoregistry.net/rdap/
.kids,generic,DotKids Foundation Limited,https://rdap.identitydigital.services/rdap/
.kim,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.kinder,generic,Not assigned,
.kindle,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/kindle/
.kitchen,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.kiwi,generic,DOT KIWI LIMITED,https://rdap.kiwi.fury.ca/rdap/
.km,country-code,Comores Telecom,
.kn,country-code,"Ministry of Finance, Sustainable Development Information & Technology",
.koeln,generic,dotKoeln GmbH,https://rdap.ryce-rsp.com/rdap/
.komatsu,generic,Komatsu Ltd.,https://rdap.gmoregistry.net/rdap/
.kosher,generic,Kosher Marketing Assets LLC,https://rdap.identitydigital.services/rdap/
.kp,country-code,Star Joint Venture Company,
.kpmg,generic,KPMG International Cooperative (KPMG International Genossenschaft),https://rdap.nic.kpmg/
.kpn,generic,Koninklijke KPN N.V.,https://rdap.centralnic.com/kpn/
.kr,country-code,Korea Internet & Security Agency (KISA),
.krd,generic,KRG Department of Information Technology,https://rdap.nic.krd/
.kred,generic,KredTLD Pty Ltd,https://rdap.centralnic.com/kred/
.kuokgroup,generic,Kerry Trading Co. Limited,https://rdap.identitydigital.services/rdap/
.kw,country-code,Communications and Information Technology Regulatory Authority,
.ky,country-code,Utility Regulation and Competition Office (OfReg),https://whois.kyregistry.ky/rdap/
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,https://rdap.gmoregistry.net/rdap/
.kz,country-code,Association of IT Companies of Kazakhstan,
.la,country-code,"Lao National Internet Center (LANIC), Ministry of Technology and Communications",
.lacaixa,generic,"Fundación Bancaria Caixa d'Estalvis i Pensions de Barcelona, ""la Caixa""",https://rdap.nic.lacaixa/
.ladbrokes,generic,Not assigned,
.lamborghini,generic,Automobili Lamborghini S.p.A.,https://rdap.identitydigital.services/rdap/
.lamer,generic,The Estée Lauder Companies Inc.,https://rdap.identitydigital.services/rdap/
.lancaster,generic,Not assigned,
.lancia,generic,Not assigned,
.lancome,generic,Not assigned,
.land,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.landrover,generic,Jaguar Land Rover Ltd,https://rdap.identitydigital.services/rdap/
.lanxess,generic,LANXESS Corporation,https://rdap.nic.lanxess/
.lasalle,generic,Jones Lang LaSalle Incorporated,https://rdap.identitydigital.services/rdap/
.lat,generic,XYZ.COM LLC,https://rdap.centralnic.com/lat/
.latino,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/
.latrobe,generic,La Trobe University,https://rdap.nic.latrobe/
.law,generic,"Registry Services, LLC",https://rdap.nic.law/
.lawyer,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.lb,country-code,Internet Society Lebanon,https://rdap.lbdr.org.lb/
.lc,country-code,University of Puerto Rico,
.lds,generic,"IRI Domain Management, LLC",https://rdap.identitydigital.services/rdap/
.lease,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,https://rdap.nic.leclerc/
.lefrak,generic,"LeFrak Organization, Inc.",https://rdap.identitydigital.services/rdap/
.legal,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.lego,generic,LEGO Juris A/S,https://rdap.identitydigital.services/rdap/
.lexus,generic,TOYOTA MOTOR CORPORATION,https://rdap.gmoregistry.net/rdap/
.lgbt,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.li,country-code,SWITCH The Swiss Education & Research Network,
.liaison,generic,Not assigned,
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,https://rdap.centralnic.com/lidl/
.life,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.lifeinsurance,generic,American Council of Life Insurers,https://rdap.nic.lifeinsurance/
.lifestyle,generic,Internet Naming Co.,https://rdap.nic.lifestyle/rdap/
.lighting,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.like,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/like/
.lilly,generic,Eli Lilly and Company,https://rdap.nic.lilly/
.limited,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.limo,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.lincoln,generic,Ford Motor Company,https://rdap.nic.lincoln/
.linde,generic,Not assigned,
.link,generic,Nova Registry Ltd.,https://whois.uniregistry.net/rdap/
.lipsy,generic,Not assigned,
.live,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.living,generic,Internet Naming Co.,https://rdap.nic.living/rdap/
.lixil,generic,Not assigned,
.lk,country-code,"Council for Information Technology
LK Domain Registrar",
.llc,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.llp,generic,Intercap Registry Inc.,https://rdap.centralnic.com/llp/
.loan,generic,dot Loan Limited,https://rdap.nic.loan/
.loans,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.locker,generic,Orange Domains LLC,https://rdap.nic.locker/rdap/
.locus,generic,Locus Analytics LLC,https://rdap.nominet.uk/locus/
.loft,generic,Not assigned,
.lol,generic,XYZ.COM LLC,https://rdap.centralnic.com/lol/
.london,generic,Dot London Domains Limited,https://rdap.centralnic.com/london/
.lotte,generic,"Lotte Holdings Co., Ltd.",https://rdap.gmoregistry.net/rdap/
.lotto,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.love,generic,Waterford Limited,https://rdap.registry.love/rdap/
.lpl,generic,"LPL Holdings, Inc.",https://rdap.centralnic.com/lpl/
.lplfinancial,generic,"LPL Holdings, Inc.",https://rdap.centralnic.com/lplfinancial/
.lr,country-code,"Data Technology Solutions, Inc.",
.ls,country-code,Lesotho Network Information Centre Proprietary (LSNIC),
.lt,country-code,Kaunas University of Technology,
.ltd,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.ltda,generic,InterNetX Corp.,https://rdap.identitydigital.services/rdap/
.lu,country-code,RESTENA,
.lundbeck,generic,H. Lundbeck A/S,https://rdap.identitydigital.services/rdap/
.lupin,generic,Not assigned,
.luxe,generic,"Registry Services, LLC",https://rdap.nic.luxe/
.luxury,generic,Luxury Partners LLC,https://rdap.centralnic.com/luxury/
.lv,country-code,"University of Latvia, Institute of Mathematics and Computer Science, Department of Network Solutions (DNS)",
.ly,country-code,General Post and Telecommunication Company,https://rdap.nic.ly/
.ma,country-code,Agence Nationale de Réglementation des Télécommunications (ANRT),
.macys,generic,Not assigned,
.madrid,generic,Comunidad de Madrid,https://rdap.nic.madrid/
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),https://rdap.identitydigital.services/rdap/
.maison,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.makeup,generic,XYZ.COM LLC,https://rdap.centralnic.com/makeup/
.man,generic,MAN Truck & Bus SE,https://rdap.nic.man/
.management,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.mango,generic,PUNTO FA S.L.,https://rdap.nic.mango/
.map,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.market,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.marketing,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.markets,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.marriott,generic,Marriott Worldwide Corporation,https://rdap.identitydigital.services/rdap/
.marshalls,generic,"The TJX Companies, Inc.",https://rdap.nic.marshalls/
.maserati,generic,Not assigned,
.mattel,generic,"Mattel IT Services, Inc.",https://rdap.nic.mattel/
