Domain,Type,TLD Manager,RDAP URLs
.autos,generic,XYZ.COM LLC,https://rdap.centralnic.com/autos/
.avianca,generic,Not assigned,
.aw,country-code,SETAR,
.aws,generic,AWS Registry LLC,https://rdap.nominet.uk/aws/
.ax,country-code,Ålands landskapsregering,
.axa,generic,AXA Group Operations SAS,https://rdap.nic.axa/
.az,country-code,IntraNS,
.azure,generic,Microsoft Corporation,https://rdap.nominet.uk/azure/
.ba,country-code,Universtiy Telinformatic Centre (UTIC),
.baby,generic,XYZ.COM LLC,https://rdap.centralnic.com/baby/
.baidu,generic,"Baidu, Inc.",https://rdap.zdnsgtld.com/baidu/
.banamex,generic,Citigroup Inc.,https://rdap.nic.banamex/
.bananarepublic,generic,Not assigned,
.band,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.bank,generic,"fTLD Registry Services, LLC",https://rdap.nic.bank/
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,https://rdap.registry.bar/rdap/
.barcelona,generic,Municipi de Barcelona,https://rdap.nic.barcelona/
.barclaycard,generic,Barclays Bank PLC,https://rdap.identitydigital.services/rdap/
.barclays,generic,Barclays Bank PLC,https://rdap.identitydigital.services/rdap/
.barefoot,generic,"Gallo Vineyards, Inc.",https://rdap.identitydigital.services/rdap/
.bargains,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.baseball,generic,"MLB Advanced Media DH, LLC",https://rdap.nic.baseball/
.basketball,generic,Fédération Internationale de Basketball (FIBA),https://rdap.nic.basketball/
.bauhaus,generic,Werkhaus GmbH,https://rdap.nic.bauhaus/
.bayern,generic,Bayern Connect GmbH,https://rdap.nic.bayern/
.bb,country-code,"Ministry of Innovation, Science and Smart Technology",
.bbc,generic,British Broadcasting Corporation,https://rdap.nominet.uk/bbc/
.bbt,generic,BB&T Corporation,https://rdap.identitydigital.services/rdap/
