Domain,Type,TLD Manager,RDAP URLs,DNSSEC,Search
.data,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/,Yes,Yes
.date,generic,dot Date Limited,https://rdap.nic.date/,Yes,Yes
.dating,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.datsun,generic,"NISSAN MOTOR CO., LTD.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.day,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.dclk,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.dds,generic,"Registry Services, LLC",https://rdap.nic.dds/,Yes,Yes
.de,country-code,DENIC eG,,Yes,Yes
.deal,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/deal/,Yes,Yes
.dealer,generic,Intercap Registry Inc.,https://rdap.centralnic.com/dealer/,Yes,Yes
.deals,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.degree,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.delivery,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.dell,generic,Dell Inc.,https://rdap.nic.dell/,Yes,Yes
.deloitte,generic,Deloitte Touche Tohmatsu,https://rdap.centralnic.com/deloitte/,Yes,Yes
.delta,generic,"Delta Air Lines, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.democrat,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.dental,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.dentist,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.desi,generic,Emergency Back-End Registry Operator Program - ICANN,https://rdap.nominet.uk/desi/,Yes,Yes
.design,generic,"Registry Services, LLC",https://rdap.nic.design/,Yes,Yes
.dev,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.dhl,generic,Deutsche Post AG,https://rdap.centralnic.com/dhl/,Yes,Yes
.diamonds,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.diet,generic,XYZ.COM LLC,https://rdap.centralnic.com/diet/,Yes,Yes
.digital,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.direct,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.directory,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.discount,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.discover,generic,Discover Financial Services,https://rdap.identitydigital.services/rdap/,Yes,Yes
.dish,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/,Yes,Yes
.diy,generic,Internet Naming Co.,https://rdap.nic.diy/rdap/,Yes,Yes
.dj,country-code,Djibouti Telecom S.A,,No,Yes
.dk,country-code,Dansk Internet Forum,,Yes,Yes
.dm,country-code,DotDM Corporation,,Yes,Yes
.dnp,generic,"Dai Nippon Printing Co., Ltd.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.do,country-code,"Pontificia Universidad Catolica Madre y Maestra, Recinto Santo Tomas de Aquino",,No,Yes
.docs,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.doctor,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.dodge,generic,Not assigned,,No,Yes
.dog,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.doha,generic,Not assigned,,No,Yes
.domains,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.doosan,generic,Not assigned,,No,Yes
.dot,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/,Yes,Yes
.download,generic,dot Support Limited,https://rdap.nic.download/,Yes,Yes
.drive,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.dtv,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/,Yes,Yes
.dubai,generic,Dubai Smart Government Department,https://rdap.nic.dubai/,Yes,Yes
.duck,generic,Not assigned,,No,Yes
.dunlop,generic,The Goodyear Tire & Rubber Company,https://rdap.identitydigital.services/rdap/,Yes,Yes
.duns,generic,Not assigned,,No,Yes
.dupont,generic,"DuPont Specialty Products USA, LLC",https://rdap.nic.dupont/,Yes,Yes
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,https://rdap.nic.durban/rdap/,Yes,Yes
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,https://rdap.centralnic.com/dvag/,Yes,Yes
.dvr,generic,DISH Technologies L.L.C.,https://rdap.mobile-registry.com/rdap/,Yes,Yes
.dz,country-code,CERIST,,Yes,Yes
.earth,generic,Interlink Systems Innovation Institute K.K.,https://rdap.nic.earth/,Yes,Yes
.eat,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.ec,country-code,ECUADORDOMAIN S.A.,https://rdap.registry.ec/,Yes,Yes
.eco,generic,Big Room Inc.,https://rdap.eco.fury.ca/rdap/,Yes,Yes
.edeka,generic,EDEKA Verband kaufmännischer Genossenschaften e.V.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.edu,sponsored,EDUCAUSE,,Yes,Yes
.education,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.ee,country-code,Eesti Interneti Sihtasutus (EIS),,Yes,Yes
.eg,country-code,"Egyptian Universities Network (EUN), Supreme Council of Universities",,No,Yes
.eh,country-code,Not assigned,,No,Yes
.email,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.emerck,generic,Merck KGaA,https://rdap.identitydigital.services/rdap/,Yes,Yes
.emerson,generic,Not assigned,,No,Yes
.energy,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.engineer,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.engineering,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.enterprises,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.epost,generic,Not assigned,,No,Yes
.epson,generic,Seiko Epson Corporation,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.equipment,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.er,country-code,Eritrea Telecommunication Services Corporation (EriTel),,Yes,Yes
.ericsson,generic,Telefonaktiebolaget L M Ericsson,https://rdap.identitydigital.services/rdap/,Yes,Yes
.erni,generic,ERNI Group Holding AG,https://rdap.nic.erni/,Yes,Yes
.es,country-code,Red.es,,Yes,Yes
.esq,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.estate,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.esurance,generic,Not assigned,,No,Yes
.et,country-code,Ethio telecom,,No,Yes
.etisalat,generic,Not assigned,,No,Yes
.eu,country-code,EURid vzw/asbl,,Yes,Yes
.eurovision,generic,European Broadcasting Union (EBU),https://rdap.nic.eurovision/,Yes,Yes
.eus,generic,Puntueus Fundazioa,https://rdap.nic.eus/,Yes,Yes
.events,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.everbank,generic,Not assigned,,No,Yes
.exchange,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.expert,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.exposed,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.express,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.extraspace,generic,Extra Space Storage LLC,https://rdap.identitydigital.services/rdap/,Yes,Yes
.fage,generic,Fage International S.A.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.fail,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.fairwinds,generic,"FairWinds Partners, LLC",https://rdap.nominet.uk/fairwinds/,Yes,Yes
.faith,generic,dot Faith Limited,https://rdap.nic.faith/,Yes,Yes
.family,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.fan,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.fans,generic,ZDNS International Limited,https://rdap.centralnic.com/fans/,Yes,Yes
.farm,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.farmers,generic,Farmers Insurance Exchange,https://rdap.nic.farmers/,Yes,Yes
.fashion,generic,"Registry Services, LLC",https://rdap.nic.fashion/,Yes,Yes
.fast,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/fast/,Yes,Yes
.fedex,generic,Federal Express Corporation,https://rdap.identitydigital.services/rdap/,Yes,Yes
.feedback,generic,"Top Level Spectrum, Inc.",https://rdap.nic.feedback/rdap/,Yes,Yes
.ferrari,generic,Fiat Chrysler Automobiles N.V.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.ferrero,generic,Ferrero Trading Lux S.A.,https://rdap.nic.ferrero/,Yes,Yes
.fi,country-code,Finnish Transport and Communications Agency Traficom,https://rdap.fi/rdap/rdap/,Yes,Yes
.fiat,generic,Not assigned,,No,Yes
.fidelity,generic,Fidelity Brokerage Services LLC,https://rdap.identitydigital.services/rdap/,Yes,Yes
.fido,generic,Rogers Communications Canada Inc.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.film,generic,Motion Picture Domain Registry Pty Ltd,https://rdap.nic.film/,Yes,Yes
.final,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,https://rdap.gtlds.nic.br/,Yes,Yes
.finance,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.financial,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.fire,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/fire/,Yes,Yes
.firestone,generic,"Bridgestone Licensing Services, Inc.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.firmdale,generic,Firmdale Holdings Limited,https://rdap.nic.firmdale/,Yes,Yes
.fish,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.fishing,generic,"Registry Services, LLC",https://rdap.nic.fishing/,Yes,Yes
.fit,generic,"Registry Services, LLC",https://rdap.nic.fit/,Yes,Yes
.fitness,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.fj,country-code,"The University of the South Pacific
IT Services",https://www.rdap.fj/,Yes,Yes
.fk,country-code,Falkland Islands Government,,No,Yes
.flickr,generic,"Flickr, Inc.",https://rdap.nic.flickr/,Yes,Yes
.flights,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.flir,generic,"FLIR Systems, Inc.",https://rdap.nic.flir/,Yes,Yes
.florist,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.flowers,generic,XYZ.COM LLC,https://rdap.centralnic.com/flowers/,Yes,Yes
.flsmidth,generic,Not assigned,,No,Yes
.fly,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.fm,country-code,FSM Telecommunications Corporation,https://rdap.centralnic.com/fm/,Yes,Yes
.fo,country-code,FO Council,https://rdap.centralnic.com/fo/,Yes,Yes
.foo,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.food,generic,Internet Naming Co.,https://rdap.nic.food/rdap/,Yes,Yes
.foodnetwork,generic,Not assigned,,No,Yes
.football,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.ford,generic,Ford Motor Company,https://rdap.nic.ford/,Yes,Yes
.forex,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.forsale,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.forum,generic,"Fegistry, LLC",https://rdap.nic.forum/rdap/,Yes,Yes
.foundation,generic,Public Interest Registry (PIR),https://rdap.publicinterestregistry.org/rdap/,Yes,Yes
.fox,generic,"FOX Registry, LLC",https://rdap.nic.fox/,Yes,Yes
.fr,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),https://rdap.nic.fr/,Yes,Yes
.free,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/free/,Yes,Yes
.fresenius,generic,Fresenius Immobilien-Verwaltungs-GmbH,https://rdap.centralnic.com/fresenius/,Yes,Yes
.frl,generic,FRLregistry B.V.,https://rdap.centralnic.com/frl/,Yes,Yes
.frogans,generic,OP3FT,https://rdap.identitydigital.services/rdap/,Yes,Yes
.frontdoor,generic,Not assigned,,No,Yes
.frontier,generic,Frontier Communications Corporation,https://rdap.nic.frontier/,Yes,Yes
.ftr,generic,Frontier Communications Corporation,https://rdap.nic.ftr/,Yes,Yes
.fujitsu,generic,Fujitsu Limited,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.fujixerox,generic,Not assigned,,No,Yes
.fun,generic,Radix Technologies Inc.,https://rdap.centralnic.com/fun/,Yes,Yes
.fund,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.furniture,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.futbol,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.fyi,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.ga,country-code,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF),,Yes,Yes
.gal,generic,Asociación puntoGAL,https://rdap.nic.gal/,Yes,Yes
.gallery,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.gallo,generic,"Gallo Vineyards, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.gallup,generic,"Gallup, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.game,generic,XYZ.COM LLC,https://rdap.centralnic.com/game/,Yes,Yes
.games,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.gap,generic,"The Gap, Inc.",https://rdap.nic.gap/,Yes,Yes
.garden,generic,"Registry Services, LLC",https://rdap.nic.garden/,Yes,Yes
.gay,generic,"Registry Services, LLC",https://rdap.nic.gay/,Yes,Yes
.gb,country-code,Reserved Domain - IANA,,No,Yes
.gbiz,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.gd,country-code,The National Telecommunications Regulatory Commission (NTRC),https://rdap.centralnic.com/gd/,Yes,Yes
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",https://rdap.nic.gdn/,Yes,Yes
.ge,country-code,Caucasus Online LLC,,Yes,Yes
.gea,generic,GEA Group Aktiengesellschaft,https://rdap.nic.gea/,Yes,Yes
.gent,generic,Combell nv,https://rdap.centralnic.com/gent/,Yes,Yes
.genting,generic,Resorts World Inc. Pte. Ltd.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.george,generic,"Wal-Mart Stores, Inc.",https://rdap.nic.george/,Yes,Yes
.gf,country-code,CANAL+ TELECOM,,No,Yes
.gg,country-code,Island Networks Ltd.,,Yes,Yes
.ggee,generic,"GMO Internet, Inc.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.gh,country-code,Network Computer Systems Limited,,No,Yes
.gi,country-code,Sapphire Networks,,Yes,Yes
.gift,generic,"Uniregistry, Corp.",https://whois.uniregistry.net/rdap/,Yes,Yes
.gifts,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.gives,generic,Public Interest Registry (PIR),https://rdap.publicinterestregistry.org/rdap/,Yes,Yes
.giving,generic,Public Interest Registry (PIR),https://rdap.publicinterestregistry.org/rdap/,Yes,Yes
.gl,country-code,TELE Greenland A/S,,Yes,Yes
.glade,generic,Not assigned,,No,Yes
.glass,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.gle,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.global,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.globo,generic,Globo Comunicação e Participações S.A,https://rdap.gtlds.nic.br/,Yes,Yes
.gm,country-code,GM-NIC,,No,Yes
.gmail,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.gmbh,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.gmo,generic,"GMO Internet, Inc.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.gmx,generic,1&1 Mail & Media GmbH,https://rdap.nic.gmx/,Yes,Yes
.gn,country-code,Centre National des Sciences Halieutiques de Boussoura,,Yes,Yes
.godaddy,generic,"Go Daddy East, LLC",https://rdap.nic.godaddy/,Yes,Yes
.gold,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.golf,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.goo,generic,NTT Resonant Inc.,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.goodhands,generic,Not assigned,,No,Yes
.goodyear,generic,The Goodyear Tire & Rubber Company,https://rdap.identitydigital.services/rdap/,Yes,Yes
.goog,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.google,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.gop,generic,"Republican State Leadership Committee, Inc.",https://rdap.nominet.uk/gop/,Yes,Yes
.got,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/got/,Yes,Yes
.gov,sponsored,Cybersecurity and Infrastructure Security Agency,,Yes,Yes
.gp,country-code,Networking Technologies Group,,No,Yes
.gq,country-code,GETESA,,No,Yes
.gr,country-code,ICS-FORTH GR,,Yes,Yes
.grainger,generic,"Grainger Registry Services, LLC",https://rdap.nic.grainger/,Yes,Yes
.graphics,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.gratis,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.green,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.gripe,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.grocery,generic,"Wal-Mart Stores, Inc.",https://rdap.nic.grocery/,Yes,Yes
.group,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.gs,country-code,Government of South Georgia and South Sandwich Islands (GSGSSI),https://rdap.nic.gs/,Yes,Yes
.gt,country-code,Universidad del Valle de Guatemala,,No,Yes
.gu,country-code,University of Guam,,No,Yes
.guardian,generic,Not assigned,,No,Yes
.gucci,generic,Guccio Gucci S.p.a.,https://rdap.nominet.uk/gucci/,Yes,Yes
.guge,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.guide,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.guitars,generic,XYZ.COM LLC,https://rdap.centralnic.com/guitars/,Yes,Yes
.guru,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.gw,country-code,Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau,,Yes,Yes
.gy,country-code,University of Guyana,https://rdap.registry.gy/,Yes,Yes
.hair,generic,XYZ.COM LLC,https://rdap.centralnic.com/hair/,Yes,Yes
.hamburg,generic,Hamburg Top-Level-Domain GmbH,https://rdap.nic.hamburg/v1/,Yes,Yes
.hangout,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.haus,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.hbo,generic,"HBO Registry Services, Inc.",https://rdap.nic.hbo/,Yes,Yes
.hdfc,generic,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,https://rdap.identitydigital.services/rdap/,Yes,Yes
.hdfcbank,generic,HDFC Bank Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.health,generic,"Registry Services, LLC",https://rdap.nic.health/,Yes,Yes
.healthcare,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.help,generic,Innovation Service Ltd,https://rdap.centralnic.com/help/,Yes,Yes
.helsinki,generic,City of Helsinki,https://rdap.identitydigital.services/rdap/,Yes,Yes
.here,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.hermes,generic,Hermes International,https://rdap.identitydigital.services/rdap/,Yes,Yes
.hgtv,generic,Not assigned,,No,Yes
.hiphop,generic,"Dot Hip Hop, LLC",https://rdap.registry.hiphop/rdap/,Yes,Yes
.hisamitsu,generic,"Hisamitsu Pharmaceutical Co.,Inc.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.hitachi,generic,"Hitachi, Ltd.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.hiv,generic,Internet Naming Co.,https://whois.uniregistry.net/rdap/,Yes,Yes
.hk,country-code,Hong Kong Internet Registration Corporation Ltd.,,Yes,Yes
.hkt,generic,PCCW-HKT DataCom Services Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.hm,country-code,HM Domain Registry,,No,Yes
.hn,country-code,Red de Desarrollo Sostenible Honduras,https://rdap.nic.hn/,Yes,Yes
.hockey,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.holdings,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.holiday,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.homedepot,generic,"Home Depot Product Authority, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.homegoods,generic,"The TJX Companies, Inc.",https://rdap.nic.homegoods/,Yes,Yes
.homes,generic,XYZ.COM LLC,https://rdap.centralnic.com/homes/,Yes,Yes
.homesense,generic,"The TJX Companies, Inc.",https://rdap.nic.homesense/,Yes,Yes
.honda,generic,"Honda Motor Co., Ltd.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.honeywell,generic,Not assigned,,No,Yes
.horse,generic,"Registry Services, LLC",https://rdap.nic.horse/,Yes,Yes
.hospital,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.host,generic,Radix Technologies Inc.,https://rdap.centralnic.com/host/,Yes,Yes
.hosting,generic,XYZ.COM LLC,https://rdap.centralnic.com/hosting/,Yes,Yes
.hot,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/hot/,Yes,Yes
.hoteles,generic,Not assigned,,No,Yes
.hotels,generic,Booking.com B.V.,https://rdap.nic.hotels/,Yes,Yes
.hotmail,generic,Microsoft Corporation,https://rdap.nominet.uk/hotmail/,Yes,Yes
.house,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.how,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.hr,country-code,CARNet - Croatian Academic and Research Network,,Yes,Yes
.hsbc,generic,HSBC Global Services (UK) Limited,https://rdap.nic.hsbc/,Yes,Yes
.ht,country-code,Consortium FDS/RDDH,https://rdap.nic.ht/,Yes,Yes
.htc,generic,Not assigned,,No,Yes
.hu,country-code,Council of Hungarian Internet Providers (CHIP),,Yes,Yes
.hughes,generic,Hughes Satellite Systems Corporation,https://rdap.identitydigital.services/rdap/,Yes,Yes
.hyatt,generic,"Hyatt GTLD, L.L.C.",https://rdap.nic.hyatt/,Yes,Yes
.hyundai,generic,Hyundai Motor Company,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.ibm,generic,International Business Machines Corporation,https://rdap.nic.ibm/,Yes,Yes
.icbc,generic,Industrial and Commercial Bank of China Limited,https://rdap.zdnsgtld.com/icbc/,Yes,Yes
.ice,generic,"IntercontinentalExchange, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.icu,generic,Shortdot SA,https://rdap.centralnic.com/icu/,Yes,Yes
.id,country-code,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI),https://rdap.pandi.id/rdap/,Yes,Yes
.ie,country-code,"University College Dublin, Computing Services, Computer Centre",,Yes,Yes
.ieee,generic,IEEE Global LLC,https://rdap.nominet.uk/ieee/,Yes,Yes
.ifm,generic,ifm electronic gmbh,https://rdap.nic.ifm/,Yes,Yes
.iinet,generic,Not assigned,,No,Yes
.ikano,generic,Ikano S.A.,https://rdap.nic.ikano/v1/,Yes,Yes
.il,country-code,The Israel Internet Association (RA),,Yes,Yes
.im,country-code,Isle of Man Government,,No,Yes
.imamat,generic,Fondation Aga Khan (Aga Khan Foundation),https://rdap.identitydigital.services/rdap/,Yes,Yes
.imdb,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/imdb/,Yes,Yes
.immo,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.immobilien,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.in,country-code,National Internet Exchange of India,https://rdap.nixiregistry.in/rdap/,Yes,Yes
.inc,generic,Intercap Registry Inc.,https://rdap.centralnic.com/inc/,Yes,Yes
.industries,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.infiniti,generic,"NISSAN MOTOR CO., LTD.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.info,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.ing,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.ink,generic,"Registry Services, LLC",https://rdap.nic.ink/,Yes,Yes
.institute,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.insurance,generic,fTLD Registry Services LLC,https://rdap.nic.insurance/,Yes,Yes
.insure,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.int,sponsored,Internet Assigned Numbers Authority,https://rdap.iana.org/,Yes,Yes
.intel,generic,Not assigned,,No,Yes
.international,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.intuit,generic,"Intuit Administrative Services, Inc.",https://rdap.nic.intuit/,Yes,Yes
.investments,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.io,country-code,Internet Computer Bureau Limited,,Yes,Yes
.ipiranga,generic,Ipiranga Produtos de Petroleo S.A.,https://rdap.nic.ipiranga/,Yes,Yes
.iq,country-code,Communications and Media Commission (CMC),,No,Yes
.ir,country-code,Institute for Research in Fundamental Sciences,,Yes,Yes
.irish,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.is,country-code,ISNIC - Internet á Íslandi hf.,https://rdap.isnic.is/rdap/,Yes,Yes
.iselect,generic,Not assigned,,No,Yes
.ismaili,generic,Fondation Aga Khan (Aga Khan Foundation),https://rdap.identitydigital.services/rdap/,Yes,Yes
.ist,generic,Istanbul Metropolitan Municipality,https://rdap.identitydigital.services/rdap/,Yes,Yes
.istanbul,generic,Istanbul Metropolitan Municipality,https://rdap.identitydigital.services/rdap/,Yes,Yes
.it,country-code,IIT - CNR,,Yes,Yes
.itau,generic,Itau Unibanco Holding S.A.,https://rdap.nic.itau/,Yes,Yes
.itv,generic,ITV Services Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.iveco,generic,Not assigned,,No,Yes
