Domain,Type,TLD Manager,RDAP URLs,DNSSEC,Search
.art,generic,UK Creative Ideas Limited,https://rdap.centralnic.com/art/,Yes,Yes
.arte,generic,Association Relative à la Télévision Européenne G.E.I.E.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.as,country-code,AS Domain Registry,,No,Yes
.asda,generic,Asda Stores Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.asia,sponsored,DotAsia Organisation Ltd.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.associates,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.at,country-code,nic.at GmbH,,Yes,Yes
.athleta,generic,"The Gap, Inc.",https://rdap.nic.athleta/,Yes,Yes
.attorney,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.au,country-code,.au Domain Administration (auDA),,Yes,Yes
.auction,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.audi,generic,AUDI Aktiengesellschaft,https://rdap.identitydigital.services/rdap/,Yes,Yes
.audible,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/audible/,Yes,Yes
.audio,generic,XYZ.COM LLC,https://rdap.centralnic.com/audio/,Yes,Yes
.auspost,generic,Australian Postal Corporation,https://rdap.nic.auspost/,Yes,Yes
.author,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/author/,Yes,Yes
.auto,generic,XYZ.COM LLC,https://rdap.centralnic.com/auto/,Yes,Yes
.autos,generic,XYZ.COM LLC,https://rdap.centralnic.com/autos/,Yes,Yes
.avianca,generic,Not assigned,,No,Yes
.aw,country-code,SETAR,,Yes,Yes
.aws,generic,AWS Registry LLC,https://rdap.nominet.uk/aws/,Yes,Yes
.ax,country-code,Ålands landskapsregering,,Yes,Yes
.axa,generic,AXA Group Operations SAS,https://rdap.nic.axa/,Yes,Yes
.az,country-code,IntraNS,,Yes,Yes
.azure,generic,Microsoft Corporation,https://rdap.nominet.uk/azure/,Yes,Yes
.ba,country-code,Universtiy Telinformatic Centre (UTIC),,No,Yes
.baby,generic,XYZ.COM LLC,https://rdap.centralnic.com/baby/,Yes,Yes
.baidu,generic,"Baidu, Inc.",https://rdap.zdnsgtld.com/baidu/,Yes,Yes
.banamex,generic,Citigroup Inc.,https://rdap.nic.banamex/,Yes,Yes
.bananarepublic,generic,Not assigned,,No,Yes
.band,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.bank,generic,"fTLD Registry Services, LLC",https://rdap.nic.bank/,Yes,Yes
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,https://rdap.registry.bar/rdap/,Yes,Yes
.barcelona,generic,Municipi de Barcelona,https://rdap.nic.barcelona/,Yes,Yes
.barclaycard,generic,Barclays Bank PLC,https://rdap.identitydigital.services/rdap/,Yes,Yes
.barclays,generic,Barclays Bank PLC,https://rdap.identitydigital.services/rdap/,Yes,Yes
.barefoot,generic,"Gallo Vineyards, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.bargains,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.baseball,generic,"MLB Advanced Media DH, LLC",https://rdap.nic.baseball/,Yes,Yes
.basketball,generic,Fédération Internationale de Basketball (FIBA),https://rdap.nic.basketball/,Yes,Yes
.bauhaus,generic,Werkhaus GmbH,https://rdap.nic.bauhaus/,Yes,Yes
.bayern,generic,Bayern Connect GmbH,https://rdap.nic.bayern/,Yes,Yes
.bb,country-code,"Ministry of Innovation, Science and Smart Technology",,No,Yes
.bbc,generic,British Broadcasting Corporation,https://rdap.nominet.uk/bbc/,Yes,Yes
.bbt,generic,BB&T Corporation,https://rdap.identitydigital.services/rdap/,Yes,Yes
.bbva,generic,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",https://rdap.nominet.uk/bbva/,Yes,Yes
.bcg,generic,"The Boston Consulting Group, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.bcn,generic,Municipi de Barcelona,https://rdap.nic.bcn/,Yes,Yes
.bd,country-code,Posts and Telecommunications Division,,Yes,Yes
.be,country-code,DNS Belgium vzw/asbl,,Yes,Yes
.beats,generic,"Beats Electronics, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.beauty,generic,XYZ.COM LLC,https://rdap.centralnic.com/beauty/,Yes,Yes
.beer,generic,"Registry Services, LLC",https://rdap.nic.beer/,Yes,Yes
.bentley,generic,Not assigned,,No,Yes
.berlin,generic,dotBERLIN GmbH & Co. KG,https://rdap.nic.berlin/v1/,Yes,Yes
.best,generic,BestTLD Pty Ltd,https://rdap.centralnic.com/best/,Yes,Yes
.bestbuy,generic,"BBY Solutions, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.bet,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.bf,country-code,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP),,Yes,Yes
.bg,country-code,Register.BG,,Yes,Yes
.bh,country-code,Telecommunications Regulatory Authority (TRA),,Yes,Yes
.bharti,generic,Bharti Enterprises (Holding) Private Limited,https://tld-rdap.verisign.com/bharti/v1/,Yes,Yes
.bi,country-code,Centre National de l'Informatique,,No,Yes
.bible,generic,American Bible Society,https://rdap.nic.bible/,Yes,Yes
.bid,generic,dot Bid Limited,https://rdap.nic.bid/,Yes,Yes
.bike,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.bing,generic,Microsoft Corporation,https://rdap.nominet.uk/bing/,Yes,Yes
.bingo,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.bio,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.biz,generic-restricted,"Registry Services, LLC",https://rdap.nic.biz/,Yes,Yes
.bj,country-code,Autorité de Régulation des Communications Electroniques et de la Poste du Bénin (ARCEP BENIN),,Yes,Yes
.bl,country-code,Not assigned,,No,Yes
.black,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.blackfriday,generic,"Registry Services, LLC",https://rdap.nic.blackfriday/,Yes,Yes
.blanco,generic,Not assigned,,No,Yes
.blockbuster,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/,Yes,Yes
.blog,generic,"Knock Knock WHOIS There, LLC",https://rdap.blog.fury.ca/rdap/,Yes,Yes
.bloomberg,generic,Bloomberg IP Holdings LLC,https://rdap.identitydigital.services/rdap/,Yes,Yes
.blue,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.bm,country-code,"Registry General Department, Ministry of Home Affairs",https://rdap.identitydigital.services/rdap/,Yes,Yes
